# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-11-16
#
# GRDC-No.:              3629001
# River:                 AMAZON RIVER
# Station:               OBIDOS - LINIGRAFO
# Country:               --
# Latitude (DD):       -1.9192
# Longitude (DD):      -55.5131
# Catchment area (km²):      
# Altitude (m ASL):        37.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Brazil - National Water Agency (ANA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 2020
# No. of years:          53
# Last update:           2021-03-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 625
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1982-10-01;--:--;   -999.000; 111375.780; 100
1982-11-01;--:--;   -999.000; 100045.795; 100
1982-12-01;--:--;   -999.000; 116885.957; 100
1983-01-01;--:--;   -999.000; 140253.171; 100
1983-02-01;--:--;   -999.000; 154130.134; 100
1983-03-01;--:--;   -999.000; 160129.451; 100
1983-04-01;--:--;   -999.000; 177110.302; 100
1983-05-01;--:--;   -999.000; 185937.677; 100
1983-06-01;--:--;   -999.000; 187199.295; 100
1983-07-01;--:--;   -999.000; 171602.986; 100
1983-08-01;--:--;   -999.000; 133510.642; 100
1983-09-01;--:--;   -999.000; 100798.428; 100
1983-10-01;--:--;   -999.000;  89527.869; 100
1983-11-01;--:--;   -999.000;  91635.839; 100
1983-12-01;--:--;   -999.000; 106582.536; 100
1984-01-01;--:--;   -999.000; 134583.290; 100
1984-02-01;--:--;   -999.000; 160033.779; 100
1984-03-01;--:--;   -999.000; 186509.300; 100
1984-04-01;--:--;   -999.000; 206362.680; 100
1984-05-01;--:--;   -999.000; 221883.199; 100
1984-06-01;--:--;   -999.000; 219019.509; 100
1984-07-01;--:--;   -999.000; 208728.882; 100
1984-08-01;--:--;   -999.000; 187678.279; 100
1984-09-01;--:--;   -999.000; 154271.605; 100
1984-10-01;--:--;   -999.000; 118239.704; 100
1984-11-01;--:--;   -999.000; 109259.050; 100
1984-12-01;--:--;   -999.000; 118080.381; 100
1985-01-01;--:--;   -999.000; 149413.239; 100
1985-02-01;--:--;   -999.000; 177096.872; 100
1985-03-01;--:--;   -999.000; 179074.213; 100
1985-04-01;--:--;   -999.000; 181956.841; 100
1985-05-01;--:--;   -999.000; 192023.406; 100
1985-06-01;--:--;   -999.000; 196091.851; 100
1985-07-01;--:--;   -999.000; 188105.858; 100
1985-08-01;--:--;   -999.000; 170266.474; 100
1985-09-01;--:--;   -999.000; 147458.156; 100
1985-10-01;--:--;   -999.000; 120740.745; 100
1985-11-01;--:--;   -999.000; 113648.727; 100
1985-12-01;--:--;   -999.000; 126253.605; 100
1986-01-01;--:--;   -999.000; 148333.885; 100
1986-02-01;--:--;   -999.000; 163286.298; 100
1986-03-01;--:--;   -999.000; 186551.064; 100
1986-04-01;--:--;   -999.000; 207334.222; 100
1986-05-01;--:--;   -999.000; 217888.505; 100
1986-06-01;--:--;   -999.000; 217487.176; 100
1986-07-01;--:--;   -999.000; 214968.204; 100
1986-08-01;--:--;   -999.000; 198692.852; 100
1986-09-01;--:--;   -999.000; 161866.341; 100
1986-10-01;--:--;   -999.000; 130026.181; 100
1986-11-01;--:--;   -999.000; 133402.486; 100
1986-12-01;--:--;   -999.000; 143982.477; 100
1987-01-01;--:--;   -999.000; 157639.045; 100
1987-02-01;--:--;   -999.000; 171972.790; 100
1987-03-01;--:--;   -999.000; 191566.984; 100
1987-04-01;--:--;   -999.000; 205915.046; 100
1987-05-01;--:--;   -999.000; 214966.914; 100
1987-06-01;--:--;   -999.000; 209898.853; 100
1987-07-01;--:--;   -999.000; 194541.451; 100
1987-08-01;--:--;   -999.000; 165279.250; 100
1987-09-01;--:--;   -999.000; 126818.021; 100
1987-10-01;--:--;   -999.000;  97323.706; 100
1987-11-01;--:--;   -999.000;  93710.120; 100
1987-12-01;--:--;   -999.000; 107764.365; 100
1988-01-01;--:--;   -999.000; 133152.868; 100
1988-02-01;--:--;   -999.000; 161079.167; 100
1988-03-01;--:--;   -999.000; 187639.590; 100
1988-04-01;--:--;   -999.000; 197787.378; 100
1988-05-01;--:--;   -999.000; 210744.520; 100
1988-06-01;--:--;   -999.000; 214063.477; 100
1988-07-01;--:--;   -999.000; 205945.531; 100
1988-08-01;--:--;   -999.000; 182085.075; 100
1988-09-01;--:--;   -999.000; 134448.335; 100
1988-10-01;--:--;   -999.000;  95029.560; 100
1988-11-01;--:--;   -999.000;  97112.498; 100
1988-12-01;--:--;   -999.000; 122772.156; 100
1989-01-01;--:--;   -999.000; 144861.907; 100
