"VAPOR_WATER_FLUX_KG/S","CLOUD_LIQUID_WATER_FLUX_KG/S","CLOUD_FROZEN_WATER_FLUX_KG/S","PRECIPITATION_KG/S","EVAPORATION_KG/S","2M_TEMPERATURE_K"
82440620.42,-129941.96,-210470.11,21578090300.46,-12970324178.38,296.79
36571905.10,-170405.56,-70118.51,16836035088.11,-12683941499.77,296.64
30703379.95,-71736.69,78852.18,15159978517.94,-12606204542.98,297.06
75631225.42,53750.74,-24848.52,19261282712.83,-13095543212.05,297.19
139862249.48,427228.34,-635254.42,25395633846.03,-13715472288.87,296.92
36200778.25,234677.91,-190596.27,18159182217.20,-14285694019.57,297.02
22957709.71,24948.03,-67783.33,14675012451.69,-12020042305.76,297.04
-40052785.83,-110846.63,123989.82,7976560639.64,-10439268744.68,296.38
-24425574.19,-167772.21,229432.29,7630364763.22,-9290698727.16,296.33
15076196.14,-247967.33,122906.87,11150076321.13,-9913725580.31,297.09
62863437.59,-160573.64,9887.41,17641837097.95,-11612922034.47,296.96
109492971.96,-4972.04,-283402.54,23100610530.17,-12409374091.02,296.68
110569613.28,-252803.49,-268891.38,23137149003.60,-12680399372.20,296.46
51079762.35,-356113.50,-120989.05,17831979313.65,-12775329279.13,296.47
30484586.58,-118093.21,80500.57,16595376545.70,-12724015962.55,296.72
1032801.49,-155136.42,336763.08,12581476215.38,-12718742190.85,297.23
100606215.86,117216.88,-520259.52,21593568998.31,-13406000501.29,297.65
107734673.38,450190.56,-206093.01,23369367725.63,-13495192565.53,296.53
-20106599.91,-143671.55,-108131.85,11683094727.96,-12884998820.76,296.86
-29270763.02,-333954.79,143193.83,8997525766.55,-10449853150.73,296.89
-28613734.88,-224412.17,148459.70,7687011942.42,-9500818203.08,296.84
8345324.31,-401313.76,128906.60,10230193610.85,-9986390744.02,297.52
36987592.53,-403884.11,-49259.37,15624448519.00,-11758854569.14,297.62
139604898.81,263591.48,-358690.19,24429916036.08,-12563458309.09,297.10
189184115.64,456985.21,-226519.92,29322571838.63,-12406630373.95,296.47
163590528.78,359445.44,-121328.21,27444955805.20,-12137476384.51,296.27
79109894.82,82587.30,249100.67,20481604820.74,-12948093181.68,297.24
50551123.55,-46396.80,190743.00,18320523138.01,-13191547573.74,298.40
87663746.06,-106354.50,-379111.42,21669705635.67,-13664447484.03,298.39
56590815.87,338061.48,-221132.97,18903974036.76,-14344425642.69,298.33
-33433692.06,-144961.54,67377.17,10827597030.70,-12824629645.06,298.09
-44422400.05,-216717.82,27485.80,7494723676.69,-10382196952.22,297.44
-1677558.06,-12819.17,123274.95,9584898604.04,-9107476153.58,296.76
38325501.60,-98521.01,182571.13,13772716082.87,-9951039834.50,296.99
87551799.79,-16280.98,-243982.76,19405747398.03,-11506647250.84,297.13
87653557.98,-1633.11,-119586.28,21023679217.35,-12776841572.27,297.22
43437967.49,-414911.71,-233137.17,18233349481.24,-13238978859.91,297.22
43606892.01,-269239.62,-231038.61,17056205224.49,-12984960734.68,296.92
45217101.95,-64963.14,20894.86,17368944477.50,-12795918279.02,296.70
24538137.76,-336791.88,-164577.80,15734325197.59,-13829131863.37,297.63
90491950.32,410478.55,-54818.98,21343465375.86,-13795388781.91,297.11
52791597.58,511890.87,-217564.60,18967337160.56,-13987757627.74,297.00
-8346714.22,-4304.05,-95339.29,12309472808.26,-12433868944.57,296.70
-45714481.50,-142901.27,60435.95,7617073244.09,-10339473334.38,296.70
8254987.92,-18869.22,62866.41,10023978868.30,-9210823462.70,296.04
64063471.47,-100378.00,82378.82,15423739132.16,-9704413543.31,296.30
73788509.13,-97008.61,-103664.37,17640144916.89,-11486635938.50,296.63
111180544.18,20390.74,-371538.34,23632939651.19,-12402913107.35,296.29
151610755.94,56598.70,-387633.89,26151608118.35,-12652652399.41,296.15
