Date,Discharge [ft^3/s]
2009-08-30,450000
2009-08-31,446000
2009-09-01,434000
2009-09-02,415000
2009-09-03,395000
2009-09-04,378000
2009-09-05,368000
2009-09-06,374000
2009-09-07,386000
2009-09-08,401000
2009-09-09,414000
2009-09-10,415000
2009-09-11,407000
2009-09-12,394000
2009-09-13,385000
2009-09-14,384000
2009-09-15,384000
2009-09-16,381000
2009-09-17,373000
2009-09-18,377000
2009-09-19,393000
2009-09-20,410000
2009-09-21,422000
2009-09-22,424000
2009-09-23,425000
2009-09-24,427000
2009-09-25,436000
2009-09-26,459000
2009-09-27,482000
2009-09-28,493000
2009-09-29,498000
2009-09-30,500000
2009-10-01,490000
2009-10-02,500000
2009-10-03,512000
2009-10-04,537000
2009-10-05,573000
2009-10-06,587000
2009-10-07,585000
2009-10-08,571000
2009-10-09,554000
2009-10-10,534000
2009-10-11,519000
2009-10-12,526000
2009-10-13,562000
2009-10-14,626000
2009-10-15,711000
2009-10-16,797000
2009-10-17,863000
2009-10-18,905000
2009-10-19,922000
2009-10-20,922000
2009-10-21,911000
2009-10-22,892000
2009-10-23,875000
2009-10-24,851000
2009-10-25,831000
2009-10-26,816000
2009-10-27,803000
2009-10-28,789000
2009-10-29,781000
2009-10-30,809000
2009-10-31,864000
2009-11-01,927000
2009-11-02,989000
2009-11-03,1050000
2009-11-04,1080000
2009-11-05,1110000
2009-11-06,1140000
2009-11-07,1160000
2009-11-08,1180000
2009-11-09,1190000
2009-11-10,1190000
2009-11-11,1200000
2009-11-12,1190000
2009-11-13,1180000
2009-11-14,1170000
2009-11-15,1150000
2009-11-16,1130000
2009-11-17,1100000
2009-11-18,1080000
2009-11-19,1050000
2009-11-20,1020000
2009-11-21,977000
2009-11-22,945000
2009-11-23,925000
2009-11-24,912000
2009-11-25,909000
2009-11-26,909000
2009-11-27,906000
2009-11-28,902000
2009-11-29,884000
2009-11-30,860000
2009-12-01,825000
2009-12-02,793000
2009-12-03,754000
2009-12-04,719000
2009-12-05,698000
2009-12-06,676000
2009-12-07,663000
2009-12-08,650000
2009-12-09,652000
2009-12-10,656000
2009-12-11,675000
2009-12-12,698000
2009-12-13,726000
2009-12-14,755000
2009-12-15,795000
2009-12-16,834000
2009-12-17,869000
2009-12-18,902000
2009-12-19,926000
2009-12-20,940000
2009-12-21,954000
2009-12-22,956000
2009-12-23,948000
2009-12-24,934000
2009-12-25,932000
2009-12-26,948000
2009-12-27,967000
2009-12-28,980000
2009-12-29,993000
2009-12-30,1010000
2009-12-31,1030000
2010-01-01,1040000
2010-01-02,1060000
2010-01-03,1080000
2010-01-04,1100000
2010-01-05,1110000
2010-01-06,1120000
2010-01-07,1100000
2010-01-08,1080000
2010-01-09,1040000
2010-01-10,994000
2010-01-11,941000
2010-01-12,884000
2010-01-13,831000
2010-01-14,781000
2010-01-15,734000
2010-01-16,690000
2010-01-17,661000
2010-01-18,633000
2010-01-19,611000
2010-01-20,590000
2010-01-21,589000
2010-01-22,596000
2010-01-23,616000
2010-01-24,653000
2010-01-25,702000
2010-01-26,766000
2010-01-27,829000
2010-01-28,891000
2010-01-29,943000
2010-01-30,995000
2010-01-31,1050000
2010-02-01,1090000
2010-02-02,1140000
2010-02-03,1170000
2010-02-04,1190000
2010-02-05,1230000
2010-02-06,1250000
2010-02-07,1260000
2010-02-08,1270000
2010-02-09,1280000
2010-02-10,1280000
2010-02-11,1280000
2010-02-12,1280000
2010-02-13,1280000
2010-02-14,1280000
2010-02-15,1270000
2010-02-16,1260000
2010-02-17,1260000
2010-02-18,1230000
2010-02-19,1200000
2010-02-20,1170000
2010-02-21,1130000
2010-02-22,1080000
2010-02-23,1030000
2010-02-24,983000
2010-02-25,942000
2010-02-26,904000
2010-02-27,869000
2010-02-28,838000
2010-03-01,820000
2010-03-02,811000
2010-03-03,816000
2010-03-04,815000
2010-03-05,813000
2010-03-06,805000
2010-03-07,790000
2010-03-08,767000
2010-03-09,737000
2010-03-10,707000
2010-03-11,677000
2010-03-12,653000
2010-03-13,640000
2010-03-14,636000
2010-03-15,639000
2010-03-16,649000
2010-03-17,677000
2010-03-18,720000
2010-03-19,771000
2010-03-20,816000
2010-03-21,851000
2010-03-22,894000
2010-03-23,935000
2010-03-24,971000
2010-03-25,1010000
2010-03-26,1040000
2010-03-27,1070000
2010-03-28,1100000
2010-03-29,1120000
2010-03-30,1130000
2010-03-31,1150000
2010-04-01,1160000
2010-04-02,1160000
2010-04-03,1170000
2010-04-04,1170000
2010-04-05,1170000
2010-04-06,1160000
2010-04-07,1160000
2010-04-08,1160000
2010-04-09,1160000
2010-04-10,1150000
2010-04-11,1140000
2010-04-12,1130000
2010-04-13,1110000
2010-04-14,1080000
2010-04-15,1050000
2010-04-16,1020000
2010-04-17,990000
2010-04-18,952000
2010-04-19,910000
2010-04-20,864000
2010-04-21,820000
2010-04-22,786000
2010-04-23,755000
2010-04-24,725000
2010-04-25,702000
2010-04-26,686000
2010-04-27,666000
2010-04-28,645000
2010-04-29,626000
2010-04-30,620000
2010-05-01,630000
2010-05-02,656000
2010-05-03,718000
2010-05-04,796000
2010-05-05,859000
2010-05-06,911000
2010-05-07,959000
2010-05-08,1000000
2010-05-09,1040000
2010-05-10,1080000
2010-05-11,1110000
2010-05-12,1140000
2010-05-13,1180000
