"","V1","V2","V3","V4","V5"
"389",2011,5,238300,244774.193548387,250800
"390",2011,6,251200,255083.333333333,259000
"391",2011,7,246400,253496.774193548,258100
"392",2011,8,192400,222264.516129032,245100
"393",2011,9,99570,145425.666666667,188500
"394",2011,10,86910,90243.5483870968,97420
"395",2011,11,87480,91994,95110
"396",2011,12,92070,109689.677419355,127600
"397",2012,1,129000,150929.032258065,173600
"398",2012,2,174800,195014.285714286,219400
"399",2012,3,222000,231016.129032258,236200
"400",2012,4,236400,240213.333333333,245900
"401",2012,5,244500,247619.35483871,250800
"402",2012,6,251100,254476.666666667,258900
"403",2012,7,253800,258267.741935484,260100
"404",2012,8,197600,231180.64516129,253200
"405",2012,9,123200,157133.333333333,195200
"406",2012,10,82780,93461.935483871,120200
"407",2012,11,76490,80860.6666666667,85820
"408",2012,12,75640,90486.4516129032,108400
"409",2013,1,110100,133564.516129032,151800
"410",2013,2,151900,167957.142857143,187000
"411",2013,3,188800,213148.387096774,228400
"412",2013,4,228600,233423.333333333,238500
"413",2013,5,236400,242290.322580645,246600
"414",2013,6,247100,252530,255000
"415",2013,7,249300,253983.870967742,256900
"416",2013,8,207400,229635.483870968,248300
"417",2013,9,167000,187300,206200
"418",2013,10,117500,138722.580645161,165300
"419",2013,11,116600,121466.666666667,129300
"420",2013,12,130200,140900,152300
"421",2014,1,152900,161506.451612903,170700
"422",2014,2,171000,181835.714285714,194100
"423",2014,3,194600,212077.419354839,224700
"424",2014,4,225100,229720,233400
"425",2014,5,233000,237864.516129032,241400
"426",2014,6,241500,245323.333333333,248400
"427",2014,7,248700,250245.161290323,251300
"428",2014,8,234100,245570.967741935,252100
"429",2014,9,172100,201566.666666667,232100
"430",2014,10,118900,141823.333333333,169700
"431",2014,11,NA,NA,NA
"432",2014,12,125500,133564.516129032,140100
