id,year,month,qmin,qmean,qmax,mer,mtpr,mror,viwv,vilw,viiw
158,1992,2,123600,127241.379310345,129200,-189410812.072007,516111488.042481,231504155.415332,345520946.796238,519342.160402,-566445.418573
159,1992,3,128800,145896.774193548,166100,-192047568.456667,518617221.354414,326396449.446127,329344978.357924,498322.219369,-742865.810228
160,1992,4,168100,182753.333333333,191000,-185391261.36682,429955179.664267,258526652.072132,238468779.76938,93680.265606,-578678.16414
161,1992,5,186200,192138.709677419,194600,-180782265.7123,278813066.486027,160830784.005587,97704876.278016,-1040566.701755,-81890.152743
162,1992,6,167900,178883.333333333,185700,-167566550.960556,232197783.093666,122811081.370101,61531108.960643,-829579.164988,-39991.169599
163,1992,7,148400,157516.129032258,166800,-164796034.119924,232847329.04726,117277475.747952,61458067.776851,-1413620.138754,-55121.991851
164,1992,8,125300,136858.064516129,148400,-177297558.190801,265490416.407426,108772893.833406,106439180.828454,-463952.450716,-216292.962788
165,1992,9,112200,117273.333333333,125200,-198963397.797198,319902469.107606,101912890.492831,127929107.975532,-385725.276187,-415421.873718
166,1992,10,100200,106225.806451613,113300,-216347468.80132,286908944.041888,89057850.629469,90535026.506697,-29628.525525,-295487.406094
167,1992,11,93190,96225.3333333333,100000,-209033058.608011,379528572.965035,117322893.328862,185620730.885376,327921.437716,-521920.906483
168,1992,12,99460,116183.870967742,132900,-195929682.723354,446914659.568671,195567629.665078,262522370.69354,413702.872383,-513722.341662
169,1993,1,133300,146703.225806452,158400,-195086234.809209,505471984.297905,271007326.519714,318255304.323413,597034.394238,-702834.15475
170,1993,2,158800,169053.571428571,182200,-195274976.117702,512423133.481714,307144026.599905,310895715.945255,399071.30814,-662367.111022
171,1993,3,184000,200690.322580645,215700,-185840243.339098,569151329.104545,368295287.45388,376439298.694955,1072794.443942,-898152.038737
172,1993,4,216400,230240,241600,-177771458.439895,500873401.439385,338045396.558981,319119381.792694,787436.698889,-488053.646813
173,1993,5,241700,244303.225806452,246000,-175703927.319711,321346834.048302,221582103.55624,146910174.197012,-417462.651258,-130237.549987
174,1993,6,234400,240130,245000,-164225474.968022,283973829.070787,166289996.379709,125764031.555884,-675067.250607,-76812.224718
175,1993,7,211800,223100,233800,-165264922.481833,234531391.66854,122584192.952138,68449086.927518,-1219329.695179,-51412.453445
176,1993,8,170400,190770.967741936,210300,-182531804.820668,243942746.08455,95269157.059771,81949570.823893,-584719.512784,-208957.885449
177,1993,9,134600,151080,169000,-201146567.685612,277971567.167075,104328257.302017,94492666.089492,-583304.267209,-113920.107535
178,1993,10,108800,119812.903225806,133700,-207462049.330423,353544805.777365,103559161.657811,167265113.226838,-125001.190094,-352094.656212
179,1993,11,108100,114923.333333333,126300,-199478194.169593,462815159.75782,187927246.724414,263325677.270359,544676.78761,-669503.478503
180,1993,12,127400,140364.516129032,153500,-200494439.736428,447914496.396817,213796106.530237,260438539.446791,345714.576511,-486945.67961
181,1994,1,154700,171358.064516129,185300,-193972815.567565,482480683.908367,264166716.388978,294333425.519899,361097.441576,-582428.603372
182,1994,2,186700,198107.142857143,210300,-189811022.013463,533256428.865555,335308257.684656,347022575.871274,913596.731192,-669643.67686
183,1994,3,211600,225325.806451613,235400,-192824458.161335,486590392.52355,293611565.380147,287346343.054555,493344.001948,-645540.920936
184,1994,4,236300,243496.666666667,251300,-174280908.783939,502646463.214532,336734522.713991,321703706.361667,464978.587729,-567436.10326
185,1994,5,252800,254625.806451613,259200,-165997966.678443,407025682.289344,289117238.120333,241165018.941609,221708.785393,-234675.132637
186,1994,6,252400,254976.666666667,259300,-159101210.978015,367844978.044543,247112921.969112,200838648.612194,-292967.564791,-375056.469394
187,1994,7,233900,245035.483870968,253800,-163014769.438227,246154334.078451,158004264.632519,74342965.4367,-1353259.8257,-32818.904782
188,1994,8,196200,214654.838709677,233000,-181093409.743102,236297468.563951,110943822.292585,61079522.995422,-599755.795535,-110084.490209
189,1994,9,155700,176123.333333333,194600,-201565726.309507,311308208.620203,96840116.503978,139391799.749126,-175367.761018,-150179.174995
190,1994,10,123600,139277.419354839,154700,-214228539.386909,336201478.511968,102608090.615918,137207880.168438,-118924.298609,-464651.286121
191,1994,11,107800,115053.333333333,123200,-209659879.704921,387369391.145307,128499090.744061,192355460.057543,334413.016146,-386339.994819
192,1994,12,109300,119722.580645161,131100,-202023494.767275,455382118.033287,193106816.708304,270238333.127491,79175.578632,-574392.938619
193,1995,1,132900,143664.516129032,150500,-208944349.063969,378373568.228161,186551107.079586,164816806.265929,114881.591266,-367485.230456
194,1995,2,150200,153050,157800,-201261366.357023,412409941.144223,207559754.060963,221690597.079589,387412.15941,-492194.694241
195,1995,3,158400,163854.838709677,171300,-198234454.22276,481292748.4805,260220386.540777,294670827.692431,461714.345938,-806263.653984
196,1995,4,172200,187950,206400,-183881458.839899,449246760.798964,273342190.663691,259543850.723647,574698.087312,-287718.665308
