"VAPOR_WATER_FLUX_KG/S","CLOUD_LIQUID_WATER_FLUX_KG/S","CLOUD_FROZEN_WATER_FLUX_KG/S","PRECIPITATION_KG/S","EVAPORATION_KG/S","2M_TEMPERATURE_K"
31438950.17,-216384.38,-246745.96,9542133329.65,-6566888172.20,299.73
39689598.46,-168954.99,-297310.52,10695871662.36,-7126418146.75,299.70
17127001.82,-200511.88,-254819.98,9124541389.32,-7106115532.22,299.72
11253300.69,-210327.64,-125993.71,7151808597.66,-6148281670.93,299.98
-14291395.10,-129703.70,-40550.23,4722339999.31,-4727543769.12,298.53
-26757988.82,-77886.08,-66001.76,2027213009.12,-3247825387.44,297.15
-16148572.16,-124386.00,-66659.72,1583044197.90,-2702306000.25,297.25
-17861712.71,-40380.69,7416.35,1678344044.73,-2630275792.66,296.86
3862514.62,-188511.64,-245683.81,3715660474.11,-3060473430.44,298.32
36137821.56,-223581.17,-239921.17,5691148892.46,-3713789873.71,301.52
49658721.02,-29758.74,-328599.90,9344134096.56,-5419824098.06,301.11
47143616.24,-152998.92,-320176.23,10512907550.00,-6095281175.71,300.03
75304618.67,3805.65,-215194.29,13207175815.56,-6857630608.11,299.03
55711303.96,-78359.07,-382589.40,13855285377.15,-7714095375.13,299.02
19542259.91,-198981.70,-264744.73,10156182078.63,-7758355284.17,299.53
26067788.38,-155163.20,-360734.24,8265319592.14,-6385906621.47,299.66
-1364556.54,187165.84,-174098.85,6950511370.89,-5233850179.04,296.58
-20297199.54,141656.95,-27839.09,2554855584.79,-3832972702.92,294.77
-25318415.52,-86166.80,-24710.41,1412409412.93,-3219252466.13,296.39
-16793084.11,-146472.52,-76030.84,2357382188.38,-2999358786.89,296.66
7972662.22,-152776.84,-137244.38,4208584728.87,-3523045446.12,299.26
36973477.49,-165235.40,-332800.18,6352609848.26,-4063453789.51,300.74
25618285.65,-76900.97,-322009.03,8154091130.71,-5337062546.92,301.34
32211128.35,-210478.29,-318834.29,8443243656.48,-5853574142.22,301.58
64201932.11,-72348.08,-217054.62,12682215987.92,-7179595931.21,299.31
40062825.70,-68458.37,-357463.25,11835765234.45,-7615251303.92,299.66
18113968.57,-158541.38,-260357.30,10403831208.52,-7643670666.22,299.72
16290013.06,-58274.76,-213364.91,8346950424.45,-6381320373.02,299.29
-20706194.67,836.80,-25021.77,4298745029.04,-4922659759.12,296.70
-19916653.77,9793.79,-85738.52,2281496277.83,-3446020739.18,295.54
-11562601.38,-54078.70,-134560.28,2202711416.29,-2981607128.74,295.67
-12566000.06,-176556.61,-76904.04,2122770591.30,-2843486604.98,297.76
24149795.67,-217337.28,-185815.82,6207247804.57,-3916784816.70,299.08
29353155.50,-66220.66,-306053.97,5977961987.78,-4501274304.84,300.24
60479780.51,40966.98,-427355.24,10568427504.96,-5973812908.50,301.19
39377747.16,-301973.00,-231494.38,10668530507.48,-6569723467.80,299.74
63813991.74,-172104.06,-338413.14,11773857659.10,-6800405271.04,299.32
71509363.89,-307.01,-403958.03,14026351984.22,-7565652432.36,299.30
48286852.05,8611.38,-397375.26,13110056964.02,-7935522711.62,299.32
-63671.07,-169006.35,-164207.85,7843927260.16,-6960049152.66,298.83
-11275797.23,40932.93,1609.79,4568816186.25,-5105497677.88,296.93
-30223866.35,-127864.63,-39964.38,1703978447.07,-3847614211.04,296.06
-21491881.11,-135682.19,-1155.68,1772158136.79,-3245812638.30,295.93
-30403472.87,-135461.78,30926.77,606250076.48,-2952778494.11,295.20
2446894.99,-308235.04,-233304.96,2931556566.10,-3111124260.42,299.18
65643248.78,-9064.08,-188522.25,9943940710.79,-5066420578.37,299.82
16802528.66,-68010.42,-237752.22,7417706749.15,-5676709890.27,300.81
27980451.48,-61227.87,-328863.60,8261851716.26,-5891508486.65,300.99
59862447.32,-117922.84,-229536.27,12823235289.45,-7395341793.13,299.42
38590185.49,-104218.99,-272657.40,11591209554.95,-7771307444.76,299.60
-2581840.52,-203656.25,-179697.04,6805300917.69,-6868098149.11,300.91
52090031.27,24646.98,-160454.10,9965965563.28,-6065511839.66,299.62
17009789.55,206208.61,-22388.39,7928232898.66,-5065501609.59,297.31
11892703.14,70991.29,-143854.04,5442652243.52,-3648124637.63,295.79
-6030543.38,39458.22,34206.32,3848551042.06,-3338430993.10,294.97
-10243793.26,-51949.21,56636.64,2432814729.50,-3193104357.21,296.86
-11442229.89,-269257.43,-271828.44,2797569009.45,-3327954069.48,298.92
28705237.28,-243597.38,-266457.28,4772266202.64,-3701395907.61,302.35
29507510.51,-233127.77,-238015.46,7809060254.79,-5154393632.22,302.53
28647983.71,-188157.50,-195512.46,7430142192.13,-5336369807.56,301.60
74446224.51,-67063.20,-388378.26,12373955362.49,-6397559790.17,300.10
69935051.91,-74527.34,-414125.09,14386526120.40,-7279304081.34,299.71
15120971.42,-170031.12,-384752.29,11485846765.79,-8091208331.62,299.77
23463762.02,-75844.20,-142193.33,9858391391.07,-7061677878.62,299.42
-43302367.51,-84652.95,40621.51,2837957618.89,-5586560138.66,298.38
-36591327.91,-129799.31,-20083.69,936232860.42,-3957918797.04,296.67
-26596513.79,-108360.89,-223843.49,1988907768.05,-3699157895.14,296.16
-27734918.75,-264074.73,-49869.86,762544755.91,-3394754001.48,299.68
4297099.36,-110857.16,-181454.89,3899332612.82,-3528801177.61,298.83
28433214.87,-110183.86,-128322.64,5353886364.88,-3922049028.34,300.54
32301530.65,-112052.82,-274199.42,7345597785.56,-5306996804.98,301.43
28511982.76,-276824.46,-239119.76,7019935253.04,-5248977374.57,301.11
63414591.76,-88002.75,-303759.89,11454325745.04,-6593472167.49,299.38
68615448.87,34829.50,-510492.95,14821246597.09,-7697544251.19,299.12
29384491.57,-124026.09,-470223.28,10953305650.14,-7791791381.40,299.74
29111607.26,-65850.48,-194351.66,10252512429.41,-6834976024.81,298.83
-36225595.50,-68386.20,106101.06,3260255977.91,-5494233051.48,297.78
-23368224.72,-38341.12,30877.38,2250054129.98,-3948942588.47,296.35
-38003863.21,-100554.30,-91865.70,973304786.78,-3514464132.69,295.81
-30445354.04,-94315.60,-57178.34,1034828609.54,-3357982056.19,296.90
-12518089.90,-172281.45,-75848.11,2082613841.52,-3358635531.08,298.52
18409754.96,-130115.34,-383934.27,5541463680.90,-4355433222.35,301.03
20605277.96,-209706.17,-206778.65,6074634008.37,-5011893669.28,301.78
35851193.20,-268996.17,-434207.85,7908850511.75,-5414585441.68,300.91
57336357.77,-83427.42,-449430.47,11297299508.42,-6418233318.33,299.98
52541923.31,-96646.73,-261097.62,12237987045.24,-6967502248.15,299.44
14777674.71,-106039.78,-326656.24,9075939855.43,-7211298666.29,299.89
2891710.42,-16163.97,-182286.02,7906219489.33,-6465760595.99,298.57
-21477892.62,-27352.78,-1342.38,3687410960.54,-4765518501.60,297.57
-10373408.50,78653.27,-38361.37,2658774404.93,-3610453758.94,295.65
-13623641.84,125160.74,72979.82,2213484361.50,-3283503882.34,294.85
-12096198.99,-80983.99,-48518.21,1848400732.14,-3386377262.29,296.72
5751047.55,-68732.10,-345473.10,4336510214.94,-3717400886.36,299.60
23094446.64,-153133.24,-263658.53,5684037201.87,-4544472423.76,301.38
26301749.80,-225378.60,-187296.31,5859792165.88,-4612471254.00,301.92
45904316.86,-122066.20,-184365.55,8881810126.04,-5821386395.39,300.18
72229914.90,-54967.62,-274987.37,12187951374.45,-6483797925.80,299.67
62531510.89,-80750.48,-281855.86,13190244714.13,-7330562462.21,299.64
26973472.43,21495.87,-306468.25,10458450908.84,-7738473099.84,299.95
17658463.62,-66416.79,-93488.24,7635460434.52,-6479741225.72,299.28
-9756143.37,2723.14,-100218.70,4740863343.79,-5042803806.50,297.63
-18454718.31,27191.38,-40048.48,1760918990.39,-3675556115.39,296.66
-10264520.88,21424.10,40724.26,2341420106.46,-3249715767.10,294.21
-9616894.73,-66105.18,-30699.82,1239932410.78,-3257646989.46,298.17
17586877.39,-177298.73,-236990.08,5013931181.14,-3791699626.09,299.42
41019314.99,-192247.27,-307968.04,5795569835.25,-3800316763.74,301.56
16174191.02,-300794.11,-43467.27,4540313072.65,-4127244278.71,301.97
38286710.59,-289798.99,-208680.27,7351245280.49,-5175970003.87,301.23
